TicketID,TradeID,Trader,Account,Branch,route,bkrsym,rrno,B/S,SHORT,Market,symb,qty,price,commission,RouteFee,time
37958,55354,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,B,N,Lmt,BB,52,20.13,1,0,01/25/21 10:34:43
37737,55051,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,BB,55,20.015,1,0,01/25/21 10:33:57
37324,54488,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,BB,55,20.07,1,0,01/25/21 10:32:40
36630,53586,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,34,36.56,1,0,01/25/21 10:31:02
35225,51583,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,S,N,Mkt,PLTR,41,36.35,1,0,01/25/21 10:26:06
34958,51217,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,BB,35,19.81,1,0,01/25/21 10:25:12
34240,50123,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,41,36.735,1,0,01/25/21 10:22:37
33905,49640,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,BB,35,19.79,1,0,01/25/21 10:21:53
31816,46569,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,AMD,24,94.79,1,0,01/25/21 10:16:04
31602,46272,IBXXXX1,UXXXXX1,BBT,SMRT,NYSE,,S,N,Mkt,PLTR,22,36.39,1,0,01/25/21 10:15:32
31108,45508,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,7,36.64,1,0,01/25/21 10:14:08
30738,45007,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,29,36.48,1,0,01/25/21 10:13:03
29303,43076,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,7,95.53,1,0,01/25/21 10:09:11
28374,41838,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,PLTR,24,36,1,0,01/25/21 10:06:48
28058,41416,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,10,95.5,1,0,01/25/21 10:05:58
27287,40323,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,13,95.18,1,0,01/25/21 10:04:27
26376,39006,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,9,36.89,1,0,01/25/21 10:02:36
25519,37768,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,PLTR,33,36.2,1,0,01/25/21 10:00:24
25353,37402,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,PLTR,22,35.85,1,0,01/25/21 09:59:59
25210,37220,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Mkt,PLTR,10,36.4,1,0,01/25/21 09:59:40
24713,36568,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,PLTR,4,36.11,1,0,01/25/21 09:58:30
24242,35877,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,B,N,Lmt,PLTR,16,35.65,1,0,01/25/21 09:57:24
23429,34830,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,AMD,54,94.795,1,0,01/25/21 09:55:59
22084,32921,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,NIO,71,63.0838,1,0,01/25/21 09:53:13
20960,31381,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,NIO,71,63.3773,1,0,01/25/21 09:50:46
20531,30581,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,AMD,18,94.33,1,0,01/25/21 09:50:06
17894,26577,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,CCIV,24,26.19,1,0,01/25/21 09:45:01
17504,26017,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,B,N,Lmt,CCIV,24,27.17,1,0,01/25/21 09:44:20
17333,25750,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,BB,50,19.17,1,0,01/25/21 09:44:01
17119,25369,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,BB,50,19.4189,1,0,01/25/21 09:43:30
15648,23249,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,BB,37,19.26,1,0,01/25/21 09:40:38
15413,22900,IBXXXX1,UXXXXX1,BBT,SMRT,BYX,,B,N,Lmt,BB,37,19.57,1,0,01/25/21 09:40:13
15394,22876,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,AMC,105,4.58476,1,0,01/25/21 09:40:11
14576,21676,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,AMC,105,4.78,1,0,01/25/21 09:38:48
13370,19973,IBXXXX1,UXXXXX1,BBT,SMRT,ISLA,,S,N,Lmt,AMD,6,95.29,1,0,01/25/21 09:37:00
13171,19690,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Mkt,FUBO,13,41.84,1,0,01/25/21 09:36:43
12911,19326,IBXXXX1,UXXXXX1,BBT,SMRT,EDGE,,B,N,Mkt,FUBO,10,42.15,1,0,01/25/21 09:36:17
11315,17169,IBXXXX1,UXXXXX1,BBT,SMRT,NYSE,,S,N,Lmt,FUBO,8,43.19,1,0,01/25/21 09:34:09
11014,16763,IBXXXX1,UXXXXX1,BBT,SMRT,EDGE,,S,N,Lmt,FUBO,3,42.81,1,0,01/25/21 09:33:48
10706,16327,IBXXXX1,UXXXXX1,BBT,SMRT,AMEX,,S,N,Lmt,FUBO,4,42.53,1,0,01/25/21 09:33:22
10605,16175,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,8,95.07,1,0,01/25/21 09:33:12
9832,15127,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,FUBO,5,42.13,1,0,01/25/21 09:32:19
8537,13324,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,S,N,Lmt,AMD,10,94.66,1,0,01/25/21 09:31:13
8424,13150,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,FUBO,23,40.9,1,0,01/25/21 09:31:07
7894,12426,IBXXXX1,UXXXXX1,BBT,SMRT,BEST,,B,N,Lmt,AMD,42,94.39,1,0,01/25/21 09:30:31
